date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:36	37779/37779	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2019:17:36%20GMT	https://blueone.webflow.io/	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/index.html	(from )
00:47:36	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2011%20Jan%202023%2019:17:36%20GMT	https://blueone.webflow.io/robots.txt		(from )
00:47:38	148947/148947	---M-Z	200	added ('OK')	text/css	etag:%226e4b4132c401ffb85adfe489a69b2dc0%22	https://assets.website-files.com/63485f0753250e3a8c4b7682/css/blueone.webflow.644af00ec.min.css	C:/Users/nayan/mypc/Downloads/nayolab_theme/assets.website-files.com/63485f0753250e3a8c4b7682/css/blueone.webflow.644af00ec.min.css	(from https://blueone.webflow.io/)
00:47:40	530/530	---M--	200	added ('OK')	image/png	etag:%226bb75f42774ad3da8160f6806977b127%22	https://assets.website-files.com/63485f0753250e3a8c4b7682/634fe7a2f22c3b213f232bd0_Favicon.png	C:/Users/nayan/mypc/Downloads/nayolab_theme/assets.website-files.com/63485f0753250e3a8c4b7682/634fe7a2f22c3b213f232bd0_Favicon.png	(from https://blueone.webflow.io/)
00:47:40	3368/3368	---M--	200	added ('OK')	image/png	etag:%22fa0e2a013ce3a33f15d24276f6e7c3db%22	https://assets.website-files.com/63485f0753250e3a8c4b7682/634fe7aac01d59d4bec63629_Webclip.png	C:/Users/nayan/mypc/Downloads/nayolab_theme/assets.website-files.com/63485f0753250e3a8c4b7682/634fe7aac01d59d4bec63629_Webclip.png	(from https://blueone.webflow.io/)
00:47:40	40855/40855	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2019:17:40%20GMT	https://blueone.webflow.io/solutions-1	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/solutions-1.html	(from https://blueone.webflow.io/)
00:47:40	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2011%20Jan%202023%2019:17:40%20GMT	https://blueone.webflow.io/home-2	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/home-2	(from https://blueone.webflow.io/)
00:47:41	48992/48992	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2019:17:40%20GMT	https://blueone.webflow.io/home-3	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/home-3.html	(from https://blueone.webflow.io/)
00:47:41	28618/28618	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2019:17:40%20GMT	https://blueone.webflow.io/blog-1	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/blog-1.html	(from https://blueone.webflow.io/)
00:47:41	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2011%20Jan%202023%2019:17:41%20GMT	https://blueone.webflow.io/blog-2	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/blog-2	(from https://blueone.webflow.io/)
00:47:41	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Wed,%2011%20Jan%202023%2019:17:41%20GMT	https://blueone.webflow.io/blog-3	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/blog-3	(from https://blueone.webflow.io/)
00:47:42	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2011%20Jan%202023%2019:17:41%20GMT	https://blueone.webflow.io/blog-single	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/blog-single	(from https://blueone.webflow.io/)
00:47:42	16/16	---MC-	502	error ('Bad%20Gateway')	text/html	date:Wed,%2011%20Jan%202023%2019:17:41%20GMT	https://blueone.webflow.io/about-us-1	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/about-us-1	(from https://blueone.webflow.io/)
00:47:42	29453/29453	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jan%202023%2019:17:42%20GMT	https://blueone.webflow.io/about-us-2	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/about-us-2.html	(from https://blueone.webflow.io/)
00:47:42	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2011%20Jan%202023%2019:17:42%20GMT	https://blueone.webflow.io/about-us-3	C:/Users/nayan/mypc/Downloads/nayolab_theme/blueone.webflow.io/about-us-3	(from https://blueone.webflow.io/)
